Actual_Heart_Rate,Predicted_Heart_Rate
171.0,132.35
172.0,132.04
173.0,134.51
173.0,135.04
169.0,130.78
167.0,126.6
165.0,128.62
167.0,131.54
171.0,134.08
175.0,134.77
178.0,135.29
177.0,135.51
175.0,134.01
171.0,131.63
167.0,134.67
164.0,135.15
173.0,134.6
174.0,134.96
172.0,134.16
174.0,134.74
177.0,133.96
178.0,134.08
172.0,133.48
172.0,134.06
172.0,129.63
170.0,128.75
165.0,130.05
158.0,129.59
158.0,127.04
156.0,126.85
158.0,125.74
157.0,126.67
161.0,128.42
158.0,132.02
163.0,132.24
174.0,132.68
174.0,132.13
169.0,131.17
170.0,129.87
170.0,128.53
164.0,128.09
163.0,129.31
175.0,128.74
176.0,129.3
172.0,129.59
173.0,130.56
176.0,130.43
173.0,131.93
176.0,132.19
176.0,131.65
178.0,131.27
180.0,132.48
182.0,133.41
178.0,134.33
176.0,132.76
175.0,129.24
174.0,131.4
172.0,132.32
171.0,131.68
166.0,128.3
165.0,128.72
179.0,128.0
182.0,128.8
182.0,131.56
185.0,131.23
183.0,131.82
177.0,128.23
177.0,132.38
181.0,133.22
121.0,136.54
115.0,137.19
117.0,133.73
133.0,135.68
130.0,135.71
131.0,135.41
121.0,133.59
127.0,132.93
138.0,133.19
149.0,134.7
151.0,136.65
138.0,135.33
145.0,134.17
145.0,132.4
147.0,134.41
136.0,137.96
129.0,132.9
131.0,131.31
140.0,133.25
133.0,134.34
141.0,134.88
140.0,132.92
147.0,132.93
154.0,132.62
153.0,132.23
155.0,134.38
161.0,134.97
158.0,135.77
153.0,135.99
153.0,135.38
149.0,134.13
141.0,131.33
160.0,129.05
174.0,127.88
178.0,130.22
170.0,135.22
168.0,137.29
171.0,137.26
168.0,137.9
166.0,137.56
163.0,137.55
147.0,136.73
139.0,135.24
147.0,135.81
145.0,135.05
146.0,136.0
145.0,136.16
140.0,135.01
134.0,135.11
126.0,134.06
125.0,135.22
128.0,135.39
122.0,136.35
131.0,137.13
143.0,136.24
149.0,136.27
154.0,135.6
142.0,133.67
138.0,127.56
131.0,125.55
132.0,130.11
143.0,134.39
160.0,134.73
154.0,134.68
141.0,130.14
127.0,130.03
134.0,133.25
126.0,130.69
136.0,132.2
136.0,133.33
147.0,134.48
152.0,134.56
159.0,135.67
165.0,135.86
157.0,137.23
154.0,135.62
140.0,132.71
143.0,132.03
159.0,128.54
167.0,129.87
170.0,135.11
169.0,137.18
162.0,136.5
146.0,135.68
134.0,132.3
127.0,129.38
127.0,131.14
143.0,133.63
142.0,133.42
151.0,132.67
162.0,132.67
154.0,134.69
152.0,136.82
157.0,136.68
161.0,136.79
138.0,135.91
134.0,133.57
123.0,134.98
138.0,136.7
132.0,136.48
111.0,137.02
110.0,135.46
110.0,134.71
109.0,134.17
113.0,135.97
110.0,136.02
119.0,136.0
118.0,132.07
114.0,132.18
119.0,132.89
123.0,133.65
127.0,134.57
122.0,132.79
120.0,132.24
114.0,134.86
111.0,137.08
111.0,137.03
121.0,136.93
126.0,137.78
125.0,139.6
118.0,138.54
113.0,136.53
117.0,138.71
122.0,138.45
120.0,138.92
114.0,141.09
111.0,140.37
109.0,139.91
105.0,138.87
101.0,139.59
92.0,139.0
95.0,138.66
104.0,138.99
109.0,138.94
104.0,139.38
110.0,138.6
120.0,135.29
121.0,135.99
123.0,136.52
113.0,137.81
111.0,136.59
98.0,135.12
90.0,134.39
85.0,133.3
92.0,133.09
94.0,135.32
91.0,136.47
91.0,139.91
99.0,142.32
92.0,142.01
103.0,138.95
108.0,138.36
109.0,137.41
113.0,137.41
117.0,137.21
115.0,137.67
105.0,137.26
96.0,136.73
92.0,134.49
85.0,133.18
93.0,132.42
98.0,132.11
89.0,134.45
88.0,134.97
86.0,136.86
85.0,135.13
82.0,132.52
81.0,131.87
85.0,133.52
96.0,139.11
100.0,139.72
99.0,136.15
96.0,130.4
92.0,131.03
84.0,136.03
87.0,138.99
95.0,137.85
111.0,136.52
116.0,137.01
